"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"Adh",2.98019292499764,1.00979920148773,1.05159170547533,2.31850595135994,0,0,0,1.11467092800166,0.483175171260275,0
"Adhr",0,0,0,0,0,0,0,0,0,0
"adp",653.983105528717,333.804641691444,368.473190363373,454.030899065745,666.936154242808,294.818320764525,405.85696943099,416.055883834571,520.549149502994,480.799036699528
"al",1.1863812115427,0,0.243544095553738,0,0,0,1.18909474566139,0,0,1.11878448819987
"ald",7.71525066525093,33.4461404364719,19.7868795128421,32.2152188796592,15.0078104265806,26.38417755783,69.8317166363994,14.9796774469477,92.963580796513,42.8585683523154
"Ald",11516.7250304648,7614.85340909388,9898.82205059703,11694.4221698062,13918.4831140759,9036.11144832363,7580.57966663794,8458.24862504517,8083.34342409563,13336.0037682417
"Ama",2.18578308199666,1.64010849158829,0.981225728756478,9.89422581968629,5.4341868213948,4.53889023982157,4.74471551777212,5.95036778480798,3.12441748896305,1.6857147318095
"amd",30.5182357271178,185.436616568019,4.62308903628995,88.9764602178299,4.19401814501434,2.05313957621046,0.238061987745129,0.808413590908224,3.23137989803993,7.37782567868719
"amx",284.17738883882,186.72220264372,204.961613182712,226.691908807734,188.455665099744,168.981717443729,201.635060423495,185.170354878993,216.337999713527,247.245918541658
"Amy-d",57896.3598483483,8649.11375312186,5465.40252631286,171317.61496757,41078.9549864438,3788.84187956022,38912.2195976857,29878.9007447388,11391.3395131586,533.133161862951
"Amy-p",68241.2982773706,10280.3030021289,5855.25628360639,222463.623434906,54258.4813041046,5209.36719666416,50286.4306675642,32469.1467969377,15233.7358443616,830.608770910628
"AnxB9",1731.26039062634,2774.1116380033,2578.98720766812,2168.36863999123,3377.04061021385,4212.59255159042,2858.28081542521,3579.40021465141,2347.50987006903,4572.68265890043
"AnxB10",503.590110359721,596.793750908808,587.297973903646,990.749559277464,900.197638898346,955.306984767015,739.308570585742,1238.41431061349,875.840532196409,989.498630713468
"CG2650",3.25019483071323,5.29981538615205,4.21244168211599,7.47460851134805,6.83584639120533,4.35900589707328,2.72301141153492,5.197925312963,4.09899758682975,5.31382520326265
"Anp",0,0,0,0,0.981028183933094,0,0,0,0,0
